App,Key,Logical Lines of Code,Halstead Volume,Halstead Difficulty,Halstead Effort,Maintainability Index,Cyclomatic Complexity avg,Cyclomatic Complexity p99,Cognitive Complexity avg,Cognitive Complexity p99,Number of Words
insurance_claims,fbp_app_min,210,543.6586766532571,6.2105263157894735,3376.406518162333,43.30,1.93478,6,0.424242,4,846
insurance_claims,fbp_app_data,239,610.4242316685962,6.190476190476191,3778.816672234167,40.80,2.125,8,0.657143,5,974
insurance_claims,fbp_app_ml,263,543.6586766532571,6.848214285714286,3723.0911160093588,38.46,2.29412,6,0.918919,7,1056
insurance_claims,soa_app_min,250,383.2854248558019,6.0,2299.7125491348115,46.22,1.36364,2,1.16667,4,1094
insurance_claims,soa_app_data,285,463.722321603191,7.0,3246.056251222337,44.19,1.41667,2,1.17647,4,1247
insurance_claims,soa_app_ml,356,675.7541797227741,7.101449275362318,4798.834029915352,38.49,1.38462,2,1.48718,9,1508
mblogger,fbp_app_min,172,155.11451069865606,2.0,310.2290213973121,44.10,1.81081,5,0.307692,2,529
mblogger,fbp_app_data,225,271.41833283925547,3.0,814.2549985177664,36.56,2.04348,7,0.5625,4,709
mblogger,fbp_app_ml,276,370.5708497116037,3.0697674418604652,1137.5663293472487,32.28,2.01818,7,0.552632,4,873
mblogger,soa_app_min,240,213.67343933251428,3.0,641.0203179975429,46.93,1.75,3,1.14286,3,1002
mblogger,soa_app_data,265,213.67343933251428,3.0,641.0203179975429,45.11,1.75,3,1.13333,3,1144
mblogger,soa_app_ml,339,291.18514083005306,3.0,873.5554224901591,40.18,1.73333,3,1.10811,4,1454
ride_allocation,fbp_app_min,274,627.008672648785,5.862068965517241,3675.5680810446015,33.26,2.14815,7,0.736842,6,956
ride_allocation,fbp_app_data,321,767.1218503490396,6.956521739130435,5336.499828515058,28.79,2.42105,7,1.39024,12,1154
ride_allocation,fbp_app_ml,360,880.6997466114301,7.012987012987013,6176.335885326913,26.08,2.44444,7,1.4,12,1300
ride_allocation,soa_app_min,446,1114.2842020814173,4.8088235294117645,5358.396089420933,31.74,2.3125,4,1.55556,7,1908
ride_allocation,soa_app_data,542,1290.7967858474847,5.301724137931035,6843.448476691406,27.87,2.2381,5,1.58182,7,2299
ride_allocation,soa_app_ml,596,1417.492568250068,5.852,8295.166509399398,25.42,2.27273,5,1.69492,7,2486
